iter	Passed	Remaining
718	86053	33631
719	86168	33510
720	86284	33389
721	86406	33270
722	86525	33150
723	86638	33027
724	86756	32907
725	86862	32782
726	86984	32664
727	87105	32544
728	87224	32425
729	87343	32304
730	87458	32183
731	87572	32061
732	87688	31941
733	87807	31821
734	87920	31699
735	88044	31581
736	88171	31464
737	88287	31343
738	88414	31226
739	88552	31113
740	88667	30991
741	88790	30873
742	88904	30751
743	89031	30634
744	89157	30517
745	89290	30401
746	89471	30303
747	89631	30196
748	89771	30083
749	89981	29993
750	90137	29885
751	90339	29792
752	90471	29676
753	90623	29566
754	90765	29453
755	90914	29342
756	91053	29228
757	91205	29118
758	91406	29023
759	91545	28909
760	91686	28795
761	91833	28682
762	91974	28568
763	92106	28451
764	92274	28345
765	92394	28225
766	92520	28105
767	92634	27983
768	92749	27861
769	92869	27740
770	92977	27615
771	93102	27496
772	93216	27374
773	93328	27250
774	93439	27127
775	93558	27006
776	93675	26885
777	93790	26762
778	93909	26641
779	94028	26520
780	94135	26396
781	94246	26273
782	94352	26148
783	94466	26026
784	94575	25902
785	94693	25781
786	94800	25657
787	94912	25534
788	95032	25414
789	95145	25291
790	95259	25169
791	95376	25048
792	95500	24928
793	95618	24807
794	95743	24688
795	95852	24565
796	95970	24444
797	96087	24322
798	96200	24200
799	96340	24085
800	96507	23976
801	96646	23860
802	96774	23741
803	96887	23619
804	96998	23496
805	97112	23374
806	97223	23251
807	97340	23130
808	97456	23008
809	97568	22886
810	97688	22765
811	97807	22645
812	97921	22523
813	98030	22399
814	98143	22278
815	98259	22156
816	98394	22039
817	98524	21921
818	98630	21797
819	98743	21675
820	98862	21554
821	98982	21434
822	99094	21311
823	99208	21190
824	99321	21068
825	99446	20948
826	99570	20829
827	99683	20707
828	99795	20585
829	99898	20461
830	100007	20338
831	100120	20216
832	100244	20097
833	100360	19975
834	100485	19856
835	100601	19735
836	100715	19613
837	100830	19492
838	100936	19369
839	101055	19248
840	101168	19126
841	101287	19006
842	101409	18886
843	101517	18763
844	101635	18643
845	101747	18521
846	101855	18398
847	101967	18277
848	102088	18157
849	102202	18035
850	102322	17915
851	102438	17794
852	102555	17673
853	102664	17551
854	102785	17431
855	102899	17310
856	103011	17188
857	103124	17067
858	103240	16946
859	103359	16825
860	103472	16704
861	103585	16583
862	103694	16461
863	103826	16343
864	103939	16221
865	104054	16100
866	104172	15980
867	104287	15859
868	104394	15737
869	104516	15617
870	104623	15495
871	104737	15374
872	104852	15253
873	104960	15131
874	105080	15011
875	105195	14890
876	105311	14769
877	105441	14651
878	105553	14530
879	105678	14410
880	105789	14289
881	105899	14167
882	106021	14048
883	106133	13927
884	106253	13806
885	106375	13687
886	106490	13566
887	106608	13446
888	106719	13324
889	106838	13204
890	106949	13083
891	107072	12963
892	107195	12844
893	107313	12723
894	107433	12603
895	107548	12483
896	107685	12365
897	107800	12244
898	107907	12123
899	108026	12002
900	108137	11881
901	108244	11760
902	108358	11639
903	108490	11521
904	108611	11401
905	108730	11281
906	108856	11161
907	108975	11041
908	109093	10921
909	109215	10801
910	109330	10681
911	109439	10559
912	109547	10438
913	109669	10318
914	109775	10197
915	109888	10077
916	110001	9956
917	110121	9836
918	110246	9717
919	110358	9596
920	110478	9476
921	110596	9356
922	110711	9235
923	110831	9115
924	110948	8995
925	111063	8875
926	111179	8755
